"user_id","game_name","payment_date","revenue_amount_usd","p_month","month_rev","prev_month","prev_month_rev","next_month","next_month_rev"
UYHkNfMIVuVaH82KijZH3Q==,game 3,2022-12-18,13.89,2022-12-01,13.89,,,,
ZmjMhgyYl6o8iFq964FEWg==,game 3,2022-10-07,22.47,2022-10-01,67.41,2022-09-01,67.65,,
AN9at3LlvDamqXq8dvHD4w==,game 3,2022-04-12,20.04,2022-04-01,80.16,2022-03-01,84.06,2022-05-01,133.14
e/6IajqZ922YY1rh2ErMJQ==,game 3,2022-08-09,21.51,2022-08-01,516.24,2022-07-01,595.92,2022-09-01,420.84
mEqQ5vHXzsdrqHAQT3zs+g==,game 3,2022-11-16,12.54,2022-11-01,12.54,,,2022-12-01,14.88
"3KHhqZr7/1n2+bTP13WuXA==",game 3,2022-09-15,30.63,2022-09-01,61.26,2022-08-01,40.38,2022-10-01,29.22
yFNWN0sYyxkSJ+yLRq1WqA==,game 3,2022-09-05,19.59,2022-09-01,39.18,,,2022-10-01,34.35
QZBiEFECZAgVl5IkN9/cFw==,game 3,2022-08-01,25.14,2022-08-01,1583.82,2022-07-01,1497.42,2022-09-01,1768.62
"7L4SKPGMd33lnSOq6PWyYg==",game 3,2022-12-11,18.96,2022-12-01,18.96,,,,
Fqu+/F0rn1G4YP3f3yHA1Q==,game 3,2022-07-03,24.03,2022-07-01,24.03,,,,
q/Tz1C31XWaBUDrRn2ezDw==,game 3,2022-06-29,12.09,2022-06-01,24.18,2022-05-01,35.28,2022-07-01,46.89
xnLJlU804PSS9tXKmm7gZQ==,game 3,2022-09-17,20.52,2022-09-01,41.04,2022-08-01,25.2,2022-10-01,27.30
va4krMfpHwzELV/AUI7WHQ==,game 3,2022-08-31,21.12,2022-08-01,42.24,,,2022-09-01,44.25
xVwGwMaEG1yZydv5VIfEQA==,game 3,2022-08-27,17.94,2022-08-01,53.82,2022-07-01,47.61,2022-09-01,62.97
"7luG+f1d+Ri4AjeMbFR1Xw==",game 3,2022-04-27,16.92,2022-04-01,16.92,,,,
J6WNl39fdxaY8ZtvV8wNkw==,game 3,2022-06-28,23.97,2022-06-01,23.97,2022-05-01,24.99,,
juwM8fLyplCQTgKTP8dJgQ==,game 3,2022-09-05,20.76,2022-09-01,62.28,2022-08-01,40.95,2022-10-01,55.50
"75lEf3nSWLSf6GncqhR9gQ==",game 3,2022-05-28,19.68,2022-05-01,314.88,2022-04-01,263.88,2022-06-01,347.40
b6lW5fOrJiJUE7dwhEp9VQ==,game 3,2022-11-06,40.68,2022-11-01,162.72,2022-10-01,92.40,2022-12-01,84.42
"2FYEYdoJMUOtbJ6TruruWA==",game 3,2022-10-29,18.96,2022-10-01,18.96,,,2022-11-01,29.13
jVhb69DTRT5TSWYEiUrlbg==,game 3,2022-10-02,31.38,2022-10-01,62.76,2022-09-01,42.39,2022-11-01,50.76
LO9NuZYI6zP2HXEBAS4wpw==,game 3,2022-12-23,15.39,2022-12-01,30.78,2022-11-01,50.76,,
fuL+cD0zV6Gn4ypTYmXUgw==,game 3,2022-12-13,14.97,2022-12-01,74.85,2022-11-01,85.32,,
UdsILd3VPsla6C2r+wytbA==,game 3,2022-12-26,13.71,2022-12-01,54.84,2022-11-01,58.17,,
iFnn4bfYgNs8OS5MCcLjeA==,game 3,2022-10-08,19.2,2022-10-01,38.4,2022-09-01,27.93,2022-11-01,30.0
q8UcdT1sZCl07AqhDVz5ZA==,game 3,2022-09-27,23.01,2022-09-01,115.05,2022-08-01,115.14,2022-10-01,165.0
HWpnvfSvYzUsQCcCKhetIg==,game 3,2022-11-07,23.94,2022-11-01,215.46,2022-10-01,201.06,2022-12-01,275.31
cv6g2/jSkR+FwO58WY85DQ==,game 3,2022-12-09,24.3,2022-12-01,24.3,2022-11-01,23.28,,
JBV4ilPNTtWevrqq146kyg==,game 3,2022-07-07,17.43,2022-07-01,17.43,2022-06-01,16.38,,
ildaqkizLaFesmkjCvlzmQ==,game 3,2022-06-30,17.49,2022-06-01,17.49,,,2022-07-01,17.07
fvYhEtD56gROaXqCi9/z/Q==,game 3,2022-10-29,21.51,2022-10-01,172.08,2022-09-01,209.28,2022-11-01,192.60
WMcncRFNp4e91e/Y3CwEvQ==,game 3,2022-12-27,13.77,2022-12-01,27.54,2022-11-01,42.60,,
ux4Q9iTbOyaU1c/0SKvF7w==,game 3,2022-11-08,35.13,2022-11-01,35.13,2022-10-01,12.03,2022-12-01,28.98
UFVjte0RzYKTngAiVvjqPQ==,game 3,2022-11-08,12.09,2022-11-01,24.18,2022-10-01,45.30,2022-12-01,28.08
eLWkkjmSeHVGjb9tp+CJpQ==,game 3,2022-08-04,26.22,2022-08-01,52.44,2022-07-01,45.0,2022-09-01,31.29
WHwqHTWZHdOrSBFh/vackQ==,game 3,2022-09-13,13.2,2022-09-01,39.6,,,2022-10-01,66.84
Ghk2iJmzSUW4qLsmJgwOcw==,game 3,2022-11-02,14.94,2022-11-01,209.16,2022-10-01,304.86,2022-12-01,341.25
MSxDpyVU8A+9Wgmnb8b1IQ==,game 3,2022-12-21,19.26,2022-12-01,19.26,2022-11-01,28.08,,
"9IWUQ1iWPfYSSN2tWuVqMQ==",game 3,2022-12-01,16.02,2022-12-01,48.06,2022-11-01,71.52,,
FLqAK4qKiMkvlLBgGwbBnQ==,game 3,2022-10-06,16.05,2022-10-01,48.15,2022-09-01,44.70,,
K/6KHxREKTlFZXRfBNVNuQ==,game 3,2022-05-20,13.26,2022-05-01,26.52,2022-04-01,41.46,2022-06-01,29.28
orbgZNBGuhZZx63HTAbyIw==,game 3,2022-05-10,27.12,2022-05-01,406.80,2022-04-01,310.65,2022-06-01,352.44
"7EPlnA7OQ9MhMx+od6FA9g==",game 3,2022-03-26,31.02,2022-03-01,124.08,,,2022-04-01,114.15
c5qsNfxhW80Ws3aBXDa1nA==,game 3,2022-08-23,15.78,2022-08-01,47.34,,,2022-09-01,71.82
dpfu6t8G4blqMn55KM8bSg==,game 3,2022-08-24,17.73,2022-08-01,35.46,2022-07-01,24.06,2022-09-01,61.56
Q6BQCpZ1b6I15evvHZ6xYA==,game 3,2022-12-25,41.13,2022-12-01,41.13,2022-11-01,15.78,,
RQBsCvxlogTNUidSygqgcQ==,game 3,2022-09-13,14.67,2022-09-01,44.01,2022-08-01,55.92,,
"7SeM1pmnTTTXfhI+x3ldng==",game 3,2022-07-27,31.74,2022-07-01,63.48,,,2022-08-01,55.56
fuL+cD0zV6Gn4ypTYmXUgw==,game 3,2022-10-11,15.33,2022-10-01,229.95,2022-09-01,483.30,2022-11-01,255.96
AuJNw7SH8b7lM4j46bNr8A==,game 3,2022-11-21,16.35,2022-11-01,16.35,2022-10-01,25.77,2022-12-01,32.79
GOl6BQXsy0zvbvIWIoKEQw==,game 3,2022-10-08,36.39,2022-10-01,109.17,2022-09-01,54.81,2022-11-01,53.49
lHTzlMgVj6HJZc31yCCDng==,game 3,2022-10-24,20.85,2022-10-01,20.85,,,2022-11-01,14.73
iFFApiXZ2wPdS666BLpKZw==,game 3,2022-09-04,23.49,2022-09-01,23.49,2022-08-01,18.42,2022-10-01,15.48
F03P4YcFbbtcWUlujjIQmQ==,game 3,2022-10-24,17.34,2022-10-01,208.08,2022-09-01,237.24,2022-11-01,235.80
PWvj9YoQTtX9FGLgG1CWJQ==,game 3,2022-08-02,18.69,2022-08-01,18.69,,,,
wDXJbTe2RLmAMKsPm5zZDg==,game 3,2022-05-23,17.97,2022-05-01,143.76,,,2022-06-01,204.48
wDXJbTe2RLmAMKsPm5zZDg==,game 3,2022-05-07,15.9,2022-05-01,127.2,,,2022-06-01,204.48
"7GE5h/3N3lcro3K9T3aujw==",game 3,2022-07-05,19.05,2022-07-01,533.40,2022-06-01,579.00,2022-08-01,732.90
"9IWUQ1iWPfYSSN2tWuVqMQ==",game 3,2022-07-06,16.89,2022-07-01,135.12,2022-06-01,176.16,2022-08-01,185.16
UNcp1RmIObUiGNqLDHjNVw==,game 3,2022-09-02,24.63,2022-09-01,49.26,2022-08-01,38.19,2022-10-01,76.2
dpfu6t8G4blqMn55KM8bSg==,game 3,2022-08-05,20.97,2022-08-01,41.94,2022-07-01,24.06,2022-09-01,61.56
pLOCMIX+imLIzoDehgdOPA==,game 3,2022-10-14,17.82,2022-10-01,267.30,2022-09-01,329.67,2022-11-01,309.60
"7GE5h/3N3lcro3K9T3aujw==",game 3,2022-08-13,36.06,2022-08-01,432.72,2022-07-01,267.12,2022-09-01,363.48
VGEh7S+cxW9PT7H8KNgEGQ==,game 3,2022-11-11,19.56,2022-11-01,547.68,2022-10-01,634.68,2022-12-01,593.25
W6fRYNhsTNHQkvkoFEUaVQ==,game 3,2022-03-16,13.74,2022-03-01,41.22,,,2022-04-01,57.72
wDXJbTe2RLmAMKsPm5zZDg==,game 3,2022-06-15,29.61,2022-06-01,355.32,2022-05-01,222.03,2022-07-01,307.68
Lug+Yg90jslWgHEN6dc+Ng==,game 3,2022-07-08,18.0,2022-07-01,54.0,2022-06-01,55.98,2022-08-01,58.50
k+mv8oxK5y+607GU9LGO+A==,game 3,2022-11-17,32.76,2022-11-01,65.52,2022-10-01,49.65,,
J6WNl39fdxaY8ZtvV8wNkw==,game 3,2022-03-25,16.14,2022-03-01,16.14,,,2022-04-01,18.42
Wua5DlzLb2yNeSrcG9Xi3g==,game 3,2022-04-15,17.58,2022-04-01,52.74,,,2022-05-01,68.73
MRcEXu/KG95hsIyJM/816A==,game 3,2022-11-16,25.08,2022-11-01,50.16,2022-10-01,32.10,,
ICBVvRc9TR+qF7IoBfEWsQ==,game 3,2022-11-10,14.19,2022-11-01,56.76,2022-10-01,80.73,,
mY631USB1Y3/I1dHNhoEyA==,game 3,2022-12-22,20.46,2022-12-01,20.46,2022-11-01,15.3,,
"7BqUeLmbiug63XrWs2+ZQQ==",game 3,2022-07-02,14.67,2022-07-01,29.34,,,2022-08-01,32.94
ux4Q9iTbOyaU1c/0SKvF7w==,game 3,2022-10-06,12.03,2022-10-01,48.12,,,2022-11-01,96.42
eoqO46DzxSrKA2rredUNyQ==,game 3,2022-08-06,21.84,2022-08-01,43.68,2022-07-01,60.72,2022-09-01,27.78
d7kiN4CYGndV2/L4yQeZ4g==,game 3,2022-12-06,13.98,2022-12-01,41.94,2022-11-01,57.24,,
Uen3Ap0lnrgWVWJtFCSo7g==,game 3,2022-05-08,18.81,2022-05-01,37.62,,,2022-06-01,55.23
"72brUr/DKItStlTen5pHYg==",game 3,2022-07-25,18.0,2022-07-01,72.0,2022-06-01,86.91,2022-08-01,122.52
wjWDL/+l9D+LVt/9gNMH5Q==,game 3,2022-07-11,19.17,2022-07-01,19.17,2022-06-01,13.08,,
"06RPvlsFPCmM9ag+iSM/Ag==",game 3,2022-08-14,18.9,2022-08-01,37.8,2022-07-01,50.46,2022-09-01,48.72
BLnx9pj0y+SVkckLR/01qw==,game 3,2022-10-30,22.65,2022-10-01,135.90,2022-09-01,83.10,2022-11-01,131.76
xSi5UajdkNHXppWOTm6g8w==,game 3,2022-09-18,26.07,2022-09-01,391.05,2022-08-01,457.80,2022-10-01,465.48
C6w5XTf8lIfc+VFmC7/bVw==,game 3,2022-12-17,25.83,2022-12-01,25.83,2022-11-01,29.22,,
orbgZNBGuhZZx63HTAbyIw==,game 3,2022-06-16,14.97,2022-06-01,269.46,2022-05-01,467.91,2022-07-01,414.90
D0sawvsyqnyUMXNy+aXo7Q==,game 3,2022-10-03,16.23,2022-10-01,16.23,,,,
yFNWN0sYyxkSJ+yLRq1WqA==,game 3,2022-12-22,15.66,2022-12-01,62.64,2022-11-01,133.80,,
Vtl1tAkN8ajIRaOwKulKyQ==,game 3,2022-12-03,32.19,2022-12-01,32.19,2022-11-01,21.9,,
EPRgsEIjWdzmRbzsHZ48zg==,game 3,2022-11-21,13.98,2022-11-01,111.84,2022-10-01,261.54,2022-12-01,122.16
"7SeM1pmnTTTXfhI+x3ldng==",game 3,2022-04-12,41.37,2022-04-01,248.22,2022-03-01,104.22,2022-05-01,125.22
geIiJ1L04w2qAE0qzQUb2g==,game 3,2022-10-16,37.17,2022-10-01,37.17,2022-09-01,22.92,2022-11-01,21.54
"75lEf3nSWLSf6GncqhR9gQ==",game 3,2022-07-11,15.42,2022-07-01,61.68,2022-06-01,86.85,,
xSi5UajdkNHXppWOTm6g8w==,game 3,2022-10-13,39.06,2022-10-01,468.72,2022-09-01,270.24,2022-11-01,235.44
WMcncRFNp4e91e/Y3CwEvQ==,game 3,2022-07-27,14.04,2022-07-01,28.08,,,2022-08-01,41.16
"8ncYOMYXeKDelzX40EnuLA==",game 3,2022-12-04,17.16,2022-12-01,34.32,2022-11-01,33.57,,
IdKyooyTjAbvCA7p+ujKCw==,game 3,2022-06-03,31.08,2022-06-01,870.24,2022-05-01,614.16,2022-07-01,591.15
G+PCL1Jo+k4D3zpLGa3+aQ==,game 3,2022-11-24,21.66,2022-11-01,64.98,2022-10-01,69.3,2022-12-01,54.00
"1KzlDBp5hORL7Y5PBaB+0g==",game 3,2022-10-16,22.47,2022-10-01,134.82,2022-09-01,116.40,2022-11-01,189.81
fDgyPW0yy0+9ietMvl0vmA==,game 3,2022-08-06,13.38,2022-08-01,26.76,2022-07-01,32.94,,
r9AjQVS2nstu5lpVmDlihA==,game 3,2022-10-09,12.66,2022-10-01,12.66,,,,
B4b6v6eUHvAVOeAQk6EEiw==,game 3,2022-09-05,12.63,2022-09-01,75.78,2022-08-01,194.40,2022-10-01,118.56
"1KzlDBp5hORL7Y5PBaB+0g==",game 3,2022-10-18,20.37,2022-10-01,122.22,2022-09-01,116.40,2022-11-01,189.81
F03P4YcFbbtcWUlujjIQmQ==,game 3,2022-09-30,15.87,2022-09-01,222.18,2022-08-01,260.61,2022-10-01,230.16
"787jk0VnxM8/sv/0TkvO6A==",game 3,2022-11-24,14.49,2022-11-01,28.98,2022-10-01,34.92,2022-12-01,34.98
"2onLVyXEEj2aH+D4N9ldYQ==",game 3,2022-08-24,16.86,2022-08-01,16.86,,,,
"7GE5h/3N3lcro3K9T3aujw==",game 3,2022-07-22,19.92,2022-07-01,557.76,2022-06-01,579.00,2022-08-01,732.90
yH7KH2AG/PGgQiNV7uTTGg==,game 3,2022-10-04,17.64,2022-10-01,17.64,,,,
zSepnWFgLH0tQb1s4mxKZQ==,game 3,2022-08-06,23.85,2022-08-01,47.70,2022-07-01,28.8,2022-09-01,39.87
T+RA0/fgzbUBLF89D4AEDA==,game 3,2022-07-03,18.48,2022-07-01,36.96,2022-06-01,31.44,,
"2onLVyXEEj2aH+D4N9ldYQ==",game 3,2022-12-25,12.12,2022-12-01,12.12,2022-11-01,22.68,,
ztW05pPmN1YloSEDlJoJ3g==,game 3,2022-12-20,14.07,2022-12-01,14.07,,,,
Vn7Z6/B2x4f/w8R6xVfw5w==,game 3,2022-12-03,16.77,2022-12-01,16.77,,,,
ZxxZ87IcpgSh4lQ/VSIjnA==,game 3,2022-12-03,23.76,2022-12-01,71.28,2022-11-01,63.21,,
GEAVJz1gd3SThbDZR01fcA==,game 3,2022-09-02,32.91,2022-09-01,32.91,,,2022-10-01,26.22
"2Tm77AxZ7h7oCNKgCgMpnQ==",game 3,2022-11-21,15.99,2022-11-01,15.99,2022-10-01,21.87,,
sCKPcG1GIuOo593nRuu1Cw==,game 3,2022-12-24,30.9,2022-12-01,92.7,2022-11-01,60.93,,
G+PCL1Jo+k4D3zpLGa3+aQ==,game 3,2022-12-01,22.41,2022-12-01,22.41,2022-11-01,21.66,,
V7J42heW8l19wiBJ8UpRyw==,game 3,2022-10-18,26.79,2022-10-01,53.58,2022-09-01,54.24,2022-11-01,44.58
DorDcyqBWMg5IEaflqn5Xw==,game 3,2022-04-21,15.0,2022-04-01,30.0,,,2022-05-01,37.62
"7zai/c69uF/NhB95HgKuYw==",game 3,2022-08-02,18.33,2022-08-01,219.96,2022-07-01,186.75,2022-09-01,193.92
W6fRYNhsTNHQkvkoFEUaVQ==,game 3,2022-05-06,25.83,2022-05-01,154.98,2022-04-01,115.44,2022-06-01,165.06
jVhb69DTRT5TSWYEiUrlbg==,game 3,2022-04-17,30.39,2022-04-01,60.78,2022-03-01,34.92,2022-05-01,54.27
p0Ysy5XSVvKlZbKqzjyJgQ==,game 3,2022-12-31,18.33,2022-12-01,18.33,,,,
QZBiEFECZAgVl5IkN9/cFw==,game 3,2022-10-01,15.54,2022-10-01,139.86,2022-09-01,252.66,,
"6NexxpTuLaFmuoksJ0l8rg==",game 3,2022-12-14,16.56,2022-12-01,16.56,,,,
pLOCMIX+imLIzoDehgdOPA==,game 3,2022-05-25,18.78,2022-05-01,56.34,,,2022-06-01,55.53
T+RA0/fgzbUBLF89D4AEDA==,game 3,2022-07-23,16.53,2022-07-01,33.06,2022-06-01,31.44,,
ZU1vF9G4TjB+iEZ001MU3g==,game 3,2022-08-20,23.1,2022-08-01,23.1,2022-07-01,22.2,,
K5c4Zypq0/6iQYmv/Dqm5A==,game 3,2022-10-18,24.96,2022-10-01,24.96,,,2022-11-01,18.12
"1jx1AjqUwE9sbCyafQnUNQ==",game 3,2022-09-26,13.71,2022-09-01,41.13,2022-08-01,63.54,2022-10-01,46.98
DorDcyqBWMg5IEaflqn5Xw==,game 3,2022-08-11,17.04,2022-08-01,85.20,,,2022-09-01,85.05
HRBsRwGu5mkTvZBTNpA0tQ==,game 3,2022-05-23,20.85,2022-05-01,62.55,2022-04-01,59.64,,
DcYWdg5xq9/5Yd7SaaVhZw==,game 3,2022-11-01,19.83,2022-11-01,19.83,,,,
HxWcXHURvvtOJkrXAcDxQg==,game 3,2022-09-04,16.95,2022-09-01,101.70,2022-08-01,143.28,2022-10-01,115.20
"2be8IOVjt9pzDDEVqZwIKQ==",game 3,2022-12-06,21.03,2022-12-01,21.03,,,,
xiXTXOEbWU+HnGOUmgc9/w==,game 3,2022-04-21,16.98,2022-04-01,67.92,2022-03-01,96.72,2022-05-01,73.29
NntDesROB4ANrudTCXEScA==,game 3,2022-10-15,16.41,2022-10-01,32.82,,,2022-11-01,27.63
UuQtA3rK0dpF7TttUoIAyg==,game 3,2022-10-30,21.81,2022-10-01,65.43,,,2022-11-01,59.16
"7vnYIRqjBNlAyBbtPg02tQ==",game 3,2022-07-09,12.63,2022-07-01,37.89,,,2022-08-01,82.08
VGEh7S+cxW9PT7H8KNgEGQ==,game 3,2022-09-13,21.0,2022-09-01,2352.0,2022-08-01,2269.05,2022-10-01,2538.72
xnLJlU804PSS9tXKmm7gZQ==,game 3,2022-04-30,14.04,2022-04-01,70.20,,,2022-05-01,96.06
sCKPcG1GIuOo593nRuu1Cw==,game 3,2022-06-01,17.61,2022-06-01,17.61,,,,
F03P4YcFbbtcWUlujjIQmQ==,game 3,2022-08-30,14.31,2022-08-01,114.48,2022-07-01,132.96,2022-09-01,158.16
B4b6v6eUHvAVOeAQk6EEiw==,game 3,2022-04-12,30.27,2022-04-01,30.27,2022-03-01,15.3,,
B4b6v6eUHvAVOeAQk6EEiw==,game 3,2022-07-21,20.79,2022-07-01,207.90,2022-06-01,192.66,2022-08-01,324.00
cOCixiBbcAHemYgbNdoTcw==,game 3,2022-12-06,15.39,2022-12-01,46.17,2022-11-01,82.68,,
pLOCMIX+imLIzoDehgdOPA==,game 3,2022-06-24,14.76,2022-06-01,221.40,2022-05-01,340.80,2022-07-01,454.32
RQBsCvxlogTNUidSygqgcQ==,game 3,2022-05-05,12.18,2022-05-01,12.18,,,2022-06-01,17.07
"7GE5h/3N3lcro3K9T3aujw==",game 3,2022-06-26,24.24,2022-06-01,484.80,2022-05-01,475.80,2022-07-01,445.20
VGEh7S+cxW9PT7H8KNgEGQ==,game 3,2022-10-12,24.96,2022-10-01,1572.48,2022-09-01,1540.56,2022-11-01,1449.90
ABuPH1LovAomZwU+2iw0Lw==,game 3,2022-11-02,21.54,2022-11-01,64.62,,,2022-12-01,47.10
ymEApWLjh3I9oLJnWIBHFA==,game 3,2022-10-12,17.7,2022-10-01,17.7,2022-09-01,33.27,,
xSi5UajdkNHXppWOTm6g8w==,game 3,2022-07-18,20.04,2022-07-01,60.12,,,2022-08-01,91.56
gPRMy8HkmaiyX+13OxuP/A==,game 3,2022-11-14,29.34,2022-11-01,29.34,2022-10-01,38.22,,
BTD3ZjLKfkT6ZRBT9zRwtg==,game 3,2022-11-21,14.16,2022-11-01,56.64,2022-10-01,54.00,2022-12-01,54.84
MAkig8NeMsTs73r6K0uDpA==,game 3,2022-11-23,18.9,2022-11-01,37.8,2022-10-01,48.27,2022-12-01,36.0
"7zai/c69uF/NhB95HgKuYw==",game 3,2022-11-02,27.48,2022-11-01,27.48,2022-10-01,22.77,,
"3iITAz/ADjFv3PDTgTjxSg==",game 3,2022-08-06,18.84,2022-08-01,56.52,2022-07-01,50.58,2022-09-01,56.16
Q0GNgLhqfwwVwtvQhJt58A==,game 3,2022-11-12,21.24,2022-11-01,42.48,,,2022-12-01,56.58
